,FCS,CORR,BUFF_OVERFLOW,GENERIC,PCKT_NUM,TIME(MS),LENGTH,PAYLOAD,RSSI,CRC_OK,FRAME_TYPE,SECURITY_ENABLED,FRAME_PENDING,ACKNOWLEDGE_REQ,PAN_COMPRESSION,DEST_PAN,DEST_ADD,SRC_PAN,SRC_ADD
0,1,1,0,0,1,11879919.0625,11,,-98,1,CMD,0,0,0,0,0xffff,,,
1,1,1,0,0,2,28631101.4375,11,,-99,1,CMD,0,0,0,0,0xffff,,,
2,1,1,0,0,3,28632171.4375,14,,-90,1,BCN,0,0,0,0,,,0x0001,0xaabb
3,1,1,0,0,4,29284869.1875,11,,-91,1,CMD,0,0,0,0,0xffff,,,
4,1,1,0,0,5,29286875.8125,14,,-90,1,BCN,0,0,0,0,,,0x0001,0xaabb
5,1,1,0,0,6,30574224.1875,14,,-89,1,BCN,0,0,0,0,,,0x0001,0xaabb
6,1,1,0,0,7,30665743.1875,22,,-97,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
7,1,1,0,0,8,30668549.9375,22,,-97,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
8,1,1,0,0,9,30672313.9375,22,,-97,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
9,1,1,0,0,10,30676717.4375,22,,-97,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
10,1,1,0,0,11,30677772.8125,6,,-90,1,ACK,0,0,0,0,,,,
11,1,1,0,0,12,30678894.3125,22,,-97,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
12,1,1,0,0,13,30682330.0625,22,,-97,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
13,1,1,0,0,14,30686944.8125,11,,-97,1,CMD,0,0,0,0,0xffff,,,
14,1,1,0,0,15,31323015.6875,22,,-85,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f641c7
15,1,1,0,0,16,31324071.3125,6,,-90,1,ACK,0,0,0,0,,,,
16,1,1,0,0,17,31572733.1875,19,,-85,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f641c7
17,1,1,0,0,18,31573693.0625,6,,-90,1,ACK,0,1,0,0,,,,
18,1,1,0,0,19,31574747.5625,28,,-90,1,CMD,0,0,1,1,0x0001,0x00124b0014f641c7,,0x00124b0014f64292
19,1,1,0,0,20,31575995.4375,6,,-85,1,ACK,0,0,0,0,,,,
20,1,1,0,0,21,31580484.8125,13,,-85,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
21,1,1,0,0,22,31581252.4375,6,,-89,1,ACK,0,0,0,0,,,,
22,1,1,0,0,23,32604639.0625,22,,-97,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca19724
23,1,1,0,0,24,32605694.6875,6,,-89,1,ACK,0,0,0,0,,,,
24,1,1,0,0,25,32853714.5625,19,,-96,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca19724
25,1,1,0,0,26,32854674.1875,6,,-89,1,ACK,0,1,0,0,,,,
26,1,1,0,0,27,32857646.6875,28,,-89,1,CMD,0,0,1,1,0x0001,0x00124b001ca19724,,0x00124b0014f64292
27,1,1,0,0,28,32858894.8125,6,,-96,1,ACK,0,0,0,0,,,,
28,1,1,0,0,29,32863784.5625,13,,-96,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
29,1,1,0,0,30,32864552.4375,6,,-89,1,ACK,0,0,0,0,,,,
30,1,1,0,0,31,33090891.9375,22,,-90,1,BCN,0,0,0,0,,,0x0001,0xaabb
31,1,1,0,0,32,35124201.0625,22,,-101,0,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64204
32,1,1,0,0,33,35125256.6875,6,,-90,1,ACK,0,0,0,0,,,,
33,1,1,0,0,34,35374249.6875,19,,-99,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64104
34,1,1,0,0,35,35375209.4375,6,,-90,1,ACK,0,1,0,0,,,,
35,1,1,0,0,36,35376261.1875,28,,-90,1,CMD,0,0,1,1,0x0001,0x00124b0014f64104,,0x00124b0014f64292
36,1,1,0,0,37,35377509.1875,6,,-99,1,ACK,0,0,0,0,,,,
37,1,1,0,0,38,35380837.4375,13,,-98,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0004
38,1,1,0,0,39,35381605.1875,6,,-90,1,ACK,0,0,0,0,,,,
39,1,1,0,0,40,36991541.3125,11,,-88,1,CMD,0,0,0,0,0xffff,,,
40,1,1,0,0,41,36993237.0625,24,,-90,1,BCN,0,0,0,0,,,0x0001,0xaabb
41,1,1,0,0,42,38622862.3125,11,,-89,1,CMD,0,0,0,0,0xffff,,,
42,1,1,0,0,43,38624879.4375,24,,-90,1,BCN,0,0,0,0,,,0x0001,0xaabb
43,1,1,0,0,44,39024921.3125,22,,-87,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64244
44,1,1,0,0,45,39025977.0625,6,,-90,1,ACK,0,0,0,0,,,,
45,1,1,0,0,46,39274006.5625,19,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64244
46,1,1,0,0,47,39274966.3125,6,,-90,1,ACK,0,1,0,0,,,,
47,1,1,0,0,48,39276018.6875,28,,-90,1,CMD,0,0,1,1,0x0001,0x00124b0014f64244,,0x00124b0014f64292
48,1,1,0,0,49,39277266.6875,6,,-87,1,ACK,0,0,0,0,,,,
49,1,1,0,0,50,39281341.3125,13,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
50,1,1,0,0,51,39282109.3125,6,,-90,1,ACK,0,0,0,0,,,,
51,1,1,0,0,52,39468037.1875,11,,-93,1,CMD,0,0,0,0,0xffff,,,
52,1,1,0,0,53,39470692.1875,24,,-90,1,BCN,0,0,0,0,,,0x0001,0xaabb
53,1,1,0,0,54,39632252.5625,11,,-98,1,CMD,0,0,0,0,0xffff,,,
54,1,1,0,0,55,39634909.6875,24,,-90,1,BCN,0,0,0,0,,,0x0001,0xaabb
55,1,1,0,0,56,40661068.625,22,,-90,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca17247
56,1,1,0,0,57,40662124.375,6,,-90,1,ACK,0,0,0,0,,,,
57,1,1,0,0,58,40909183.625,19,,-88,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca17247
58,1,1,0,0,59,40910143.625,6,,-91,1,ACK,0,1,0,0,,,,
59,1,1,0,0,60,40912475.125,28,,-91,1,CMD,0,0,1,1,0x0001,0x00124b001ca17247,,0x00124b0014f64292
60,1,1,0,0,61,40913722.75,6,,-88,1,ACK,0,0,0,0,,,,
61,1,1,0,0,62,40918150.0,13,,-88,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0006
62,1,1,0,0,63,40918917.875,6,,-91,1,ACK,0,0,0,0,,,,
63,1,1,0,0,64,41503668.625,22,,-87,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
64,1,1,0,0,65,41504724.375,6,,-90,1,ACK,0,0,0,0,,,,
65,1,1,0,0,66,41667778.0,22,,-100,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca1739e
66,1,1,0,0,67,41668833.625,6,,-90,1,ACK,0,0,0,0,,,,
67,1,1,0,0,68,41753702.125,19,,-92,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca75ccf
68,1,1,0,0,69,41754661.875,6,,-90,1,ACK,0,1,0,0,,,,
69,1,1,0,0,70,41755389.5,28,,-90,1,CMD,0,0,1,1,0x0001,0x00124b001ca75ccf,,0x00124b0014f64292
70,1,1,0,0,71,41756637.375,6,,-92,1,ACK,0,0,0,0,,,,
71,1,1,0,0,72,41759990.875,13,,-92,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
72,1,1,0,0,73,41760758.5,6,,-91,1,ACK,0,0,0,0,,,,
73,1,1,0,0,74,41916211.125,19,,-99,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca1739e
74,1,1,0,0,75,41917170.625,6,,-90,1,ACK,0,1,0,0,,,,
75,1,1,0,0,76,41918861.625,28,,-90,1,CMD,0,0,1,1,0x0001,0x00124b001ca1739e,,0x00124b0014f64292
76,1,1,0,0,77,41920109.375,6,,-99,1,ACK,0,0,0,0,,,,
77,1,1,0,0,78,41925061.5,13,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0007
78,1,1,0,0,79,41925829.125,6,,-90,1,ACK,0,0,0,0,,,,
79,1,1,0,0,80,43471101.125,101,,-78,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0006
80,1,1,0,0,81,43474684.6875,6,,-89,1,ACK,0,0,0,0,,,,
81,1,1,0,0,82,43620184.34375,101,,-88,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0005
82,1,1,0,0,83,43623767.96875,6,,-90,1,ACK,0,0,0,0,,,,
83,1,1,0,0,84,44248342.09375,101,,-75,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
84,1,1,0,0,85,44251926.09375,6,,-90,1,ACK,0,0,0,0,,,,
85,1,1,0,0,86,48040248.21875,101,,-91,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
86,1,1,0,0,87,48043832.0,6,,-91,1,ACK,0,0,0,0,,,,
87,1,1,0,0,88,49595746.75,101,,-93,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0004
88,1,1,0,0,89,49599330.5,6,,-90,1,ACK,0,0,0,0,,,,
89,1,1,0,0,90,49762025.625,11,,-85,1,CMD,0,0,0,0,0xffff,,,
90,1,1,0,0,91,49765322.25,24,,-88,1,BCN,0,0,0,0,,,0x0001,0xaabb
91,1,1,0,0,92,51577961.5,13,,-72,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
92,1,1,0,0,93,51578729.125,6,,-85,1,ACK,0,1,0,0,,,,
93,1,1,0,0,94,51579779.875,41,,-86,1,DATA,1,1,1,1,0x0001,0x0002,,0xaabb
94,1,1,0,0,95,51581443.75,6,,-72,1,ACK,0,0,0,0,,,,
95,1,1,0,0,96,51586423.25,43,,-72,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
96,1,1,0,0,97,51588150.875,6,,-86,1,ACK,0,0,0,0,,,,
97,1,1,0,0,98,51800228.625,22,,-82,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f641b8
98,1,1,0,0,99,51801284.25,6,,-92,1,ACK,0,0,0,0,,,,
99,1,1,0,0,100,52048356.375,19,,-84,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f641b8
100,1,1,0,0,101,52049316.125,6,,-93,1,ACK,0,1,0,0,,,,
101,1,1,0,0,102,52051968.75,28,,-93,1,CMD,0,0,1,1,0x0001,0x00124b0014f641b8,,0x00124b0014f64292
102,1,1,0,0,103,52053216.5,6,,-84,1,ACK,0,0,0,0,,,,
103,1,1,0,0,104,52057211.0,13,,-85,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0008
104,1,1,0,0,105,52057979.0,6,,-93,1,ACK,0,0,0,0,,,,
105,1,1,0,0,106,52608929.375,11,,-88,1,CMD,0,0,0,0,0xffff,,,
106,1,1,0,0,107,52611588.25,24,,-95,1,BCN,0,0,0,0,,,0x0001,0xaabb
107,1,1,0,0,108,52862938.625,13,,-92,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
108,1,1,0,0,109,52863706.125,6,,-95,1,ACK,0,0,0,0,,,,
109,1,1,0,0,110,54646488.5,22,,-92,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64276
110,1,1,0,0,111,54647544.125,6,,-91,1,ACK,0,0,0,0,,,,
111,1,1,0,0,112,54896523.25,19,,-95,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64276
112,1,1,0,0,113,54897483.125,6,,-91,1,ACK,0,1,0,0,,,,
113,1,1,0,0,114,54899496.375,28,,-91,1,CMD,0,0,1,1,0x0001,0x00124b0014f64276,,0x00124b0014f64292
114,1,1,0,0,115,54900744.25,6,,-95,1,ACK,0,0,0,0,,,,
115,1,1,0,0,116,54906244.25,13,,-94,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0009
116,1,1,0,0,117,54907011.875,6,,-91,1,ACK,0,0,0,0,,,,
117,1,1,0,0,118,55381187.625,13,,-90,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0004
118,1,1,0,0,119,55381955.5,6,,-93,1,ACK,0,0,0,0,,,,
119,1,1,0,0,120,58895616.375,101,,-95,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0007
120,1,1,0,0,121,58899200.09375,6,,-94,1,ACK,0,0,0,0,,,,
121,1,1,0,0,122,59285475.84375,13,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
122,1,1,0,0,123,59286243.59375,6,,-90,1,ACK,0,0,0,0,,,,
123,1,1,0,0,124,59721779.46875,101,,-96,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0003
124,1,1,0,0,125,59725363.0,6,,-91,1,ACK,0,0,0,0,,,,
125,1,1,0,0,126,60918766.125,13,,-91,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0006
126,1,1,0,0,127,60919533.875,6,,-90,1,ACK,0,0,0,0,,,,
127,1,1,0,0,128,61759183.25,13,,-93,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
128,1,1,0,0,129,61759951.0,6,,-94,1,ACK,0,1,0,0,,,,
129,1,1,0,0,130,61760709.0,41,,-94,1,DATA,1,1,1,1,0x0001,0x0001,,0xaabb
130,1,1,0,0,131,61762373.0,6,,-94,1,ACK,0,0,0,0,,,,
131,1,1,0,0,132,61766516.75,43,,-93,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
132,1,1,0,0,133,61768244.5,6,,-95,1,ACK,0,0,0,0,,,,
133,1,1,0,0,134,61924524.75,13,,-99,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0007
134,1,1,0,0,135,61925292.25,6,,-97,1,ACK,0,0,0,0,,,,
135,1,1,0,0,136,71576656.625,13,,-75,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
136,1,1,0,0,137,71577424.25,6,,-88,1,ACK,0,0,0,0,,,,
137,1,1,0,0,138,72056258.5,13,,-82,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0008
138,1,1,0,0,139,72057026.375,6,,-87,1,ACK,0,0,0,0,,,,
139,1,1,0,0,140,72861797.625,13,,-97,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
140,1,1,0,0,141,72862565.25,6,,-90,1,ACK,0,1,0,0,,,,
141,1,1,0,0,142,72863617.125,41,,-90,1,DATA,1,1,1,1,0x0001,0x0003,,0xaabb
142,1,1,0,0,143,72865280.875,6,,-97,1,ACK,0,0,0,0,,,,
143,1,1,0,0,144,72869047.5,43,,-97,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0003
144,1,1,0,0,145,72870775.125,6,,-90,1,ACK,0,0,0,0,,,,
145,1,1,0,0,146,73469719.0,101,,-90,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0006
146,1,1,0,0,147,73473302.4375,6,,-90,1,ACK,0,0,0,0,,,,
147,1,1,0,0,148,73624063.1875,101,,-88,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0005
148,1,1,0,0,149,73627646.96875,6,,-90,1,ACK,0,0,0,0,,,,
149,1,1,0,0,150,74907052.09375,13,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0009
150,1,1,0,0,151,74910212.21875,13,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0009
151,1,1,0,0,152,75382351.96875,13,,-97,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0004
152,1,1,0,0,153,75383119.59375,6,,-96,1,ACK,0,1,0,0,,,,
153,1,1,0,0,154,75385451.09375,41,,-96,1,DATA,1,1,1,1,0x0001,0x0004,,0xaabb
154,1,1,0,0,155,75387114.84375,6,,-97,1,ACK,0,0,0,0,,,,
155,1,1,0,0,156,75390500.09375,43,,-97,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0004
156,1,1,0,0,157,75392227.84375,6,,-95,1,ACK,0,0,0,0,,,,
157,1,1,0,0,158,77231118.21875,101,,-90,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0009
158,1,1,0,0,159,77234701.90625,6,,-94,1,ACK,0,0,0,0,,,,
159,1,1,0,0,160,79286427.40625,13,,-89,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
160,1,1,0,0,161,79287195.15625,6,,-96,1,ACK,0,1,0,0,,,,
161,1,1,0,0,162,79290167.15625,41,,-96,1,DATA,1,1,1,1,0x0001,0x0005,,0xaabb
162,1,1,0,0,163,79291831.15625,6,,-90,1,ACK,0,0,0,0,,,,
163,1,1,0,0,164,79295678.90625,43,,-90,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0005
164,1,1,0,0,165,79297406.65625,6,,-96,1,ACK,0,0,0,0,,,,
165,1,1,0,0,166,80370216.78125,101,,-80,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
166,1,1,0,0,167,80373800.5625,6,,-95,1,ACK,0,0,0,0,,,,
167,1,1,0,0,168,80410772.3125,101,,-100,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0003
168,1,1,0,0,169,80414355.96875,6,,-95,1,ACK,0,0,0,0,,,,
169,1,1,0,0,170,80917803.3125,13,,-89,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0006
170,1,1,0,0,171,80918570.96875,6,,-95,1,ACK,0,1,0,0,,,,
171,1,1,0,0,172,80921222.71875,41,,-94,1,DATA,1,1,1,1,0x0001,0x0006,,0xaabb
172,1,1,0,0,173,80922886.5625,6,,-90,1,ACK,0,0,0,0,,,,
173,1,1,0,0,174,80925586.0625,43,,-90,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0006
174,1,1,0,0,175,80927313.8125,6,,-94,1,ACK,0,0,0,0,,,,
175,1,1,0,0,176,81413758.21875,101,,-94,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
176,1,1,0,0,177,81417341.875,6,,-93,1,ACK,0,0,0,0,,,,
177,1,1,0,0,178,81525948.625,101,,-85,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0008
178,1,1,0,0,179,81529532.5625,6,,-93,1,ACK,0,0,0,0,,,,
179,1,1,0,0,180,81758937.9375,13,,-96,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
180,1,1,0,0,181,81759705.5625,6,,-92,1,ACK,0,0,0,0,,,,
181,1,1,0,0,182,81924504.3125,6,,-95,1,ACK,0,1,0,0,,,,
182,1,1,0,0,183,81927475.5625,41,,-94,1,DATA,1,1,1,1,0x0001,0x0007,,0xaabb
183,1,1,0,0,184,81933410.8125,6,,-95,1,ACK,0,0,0,0,,,,
184,1,1,0,0,185,83031978.5625,101,,-86,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0006
