,FCS,CORR,BUFF_OVERFLOW,GENERIC,PCKT_NUM,TIME(MS),LENGTH,PAYLOAD,RSSI,CRC_OK,FRAME_TYPE,SECURITY_ENABLED,FRAME_PENDING,ACKNOWLEDGE_REQ,PAN_COMPRESSION,DEST_PAN,DEST_ADD,SRC_PAN,SRC_ADD
0,1,1,0,0,1,13794562.0625,11,,-90,1,CMD,0,0,0,0,0xffff,,,
1,1,1,0,0,2,25384475.0625,14,,-87,1,BCN,0,0,0,0,,,0x0001,0xaabb
2,1,1,0,0,3,25775266.6875,11,,-79,1,CMD,0,0,0,0,0xffff,,,
3,1,1,0,0,4,25776332.6875,14,,-87,1,BCN,0,0,0,0,,,0x0001,0xaabb
4,1,1,0,0,5,27417645.1875,22,,-99,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
5,1,1,0,0,6,27418700.9375,6,,-86,1,ACK,0,0,0,0,,,,
6,1,1,0,0,7,27666721.5625,19,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca75ccf
7,1,1,0,0,8,27667681.1875,6,,-86,1,ACK,0,1,0,0,,,,
8,1,1,0,0,9,27670013.9375,28,,-86,1,CMD,0,0,1,1,0x0001,0x00124b001ca75ccf,,0x00124b0014f64292
9,1,1,0,0,10,27671261.5625,6,,-99,1,ACK,0,0,0,0,,,,
10,1,1,0,0,11,27674400.5625,13,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
11,1,1,0,0,12,27675168.4375,6,,-86,1,ACK,0,0,0,0,,,,
12,1,1,0,0,13,27811549.3125,22,,-79,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f641c7
13,1,1,0,0,14,27812604.9375,6,,-87,1,ACK,0,0,0,0,,,,
14,1,1,0,0,15,28059362.0625,19,,-78,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f641c7
15,1,1,0,0,16,28060321.9375,6,,-86,1,ACK,0,1,0,0,,,,
16,1,1,0,0,17,28062974.1875,28,,-86,1,CMD,0,0,1,1,0x0001,0x00124b0014f641c7,,0x00124b0014f64292
17,1,1,0,0,18,28064221.8125,6,,-78,1,ACK,0,0,0,0,,,,
18,1,1,0,0,19,28070215.5625,13,,-77,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
19,1,1,0,0,20,28070983.4375,6,,-86,1,ACK,0,0,0,0,,,,
20,1,1,0,0,21,30892471.9375,16,,-85,1,BCN,0,0,0,0,,,0x0001,0xaabb
21,1,1,0,0,22,32923526.1875,22,,-100,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64104
22,1,1,0,0,23,32924582.1875,6,,-85,1,ACK,0,0,0,0,,,,
23,1,1,0,0,24,33172617.0625,19,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64104
24,1,1,0,0,25,33173576.8125,6,,-85,1,ACK,0,1,0,0,,,,
25,1,1,0,0,26,33175911.8125,28,,-85,1,CMD,0,0,1,1,0x0001,0x00124b0014f64104,,0x00124b0014f64292
26,1,1,0,0,27,33177159.8125,6,,-100,1,ACK,0,0,0,0,,,,
27,1,1,0,0,28,33182175.3125,13,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
28,1,1,0,0,29,33182943.0625,6,,-85,1,ACK,0,0,0,0,,,,
29,1,1,0,0,30,34302733.1875,13,,-102,0,CMD,0,0,1,1,0x0001,0xaabb,,0x0506
30,1,1,0,0,31,34303500.6875,6,,-85,1,ACK,0,0,0,0,,,,
31,1,1,0,0,32,34307675.9375,13,,-103,0,CMD,0,0,1,1,0x0c01,0xbabb,,0x0006
32,1,1,0,0,33,34308443.4375,6,,-85,1,ACK,0,0,0,0,,,,
33,1,1,0,0,34,35810185.6875,101,,-95,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
34,1,1,0,0,35,35813769.25,6,,-85,1,ACK,0,0,0,0,,,,
35,1,1,0,0,36,39113033.375,16,,-85,1,BCN,0,0,0,0,,,0x0001,0xaabb
36,1,1,0,0,37,39209845.125,101,,-75,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
37,1,1,0,0,38,39213428.875,6,,-85,1,ACK,0,0,0,0,,,,
38,1,1,0,0,39,39947146.75,16,,-86,1,BCN,0,0,0,0,,,0x0001,0xaabb
39,1,1,0,0,40,40067444.625,101,,-91,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0006
40,1,1,0,0,41,40071028.4375,6,,-85,1,ACK,0,0,0,0,,,,
41,1,1,0,0,42,41150452.4375,22,,-100,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca19724
42,1,1,0,0,43,41151508.34375,6,,-85,1,ACK,0,0,0,0,,,,
43,1,1,0,0,44,41400505.84375,19,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca19724
44,1,1,0,0,45,41401465.34375,6,,-86,1,ACK,0,1,0,0,,,,
45,1,1,0,0,46,41402517.59375,28,,-86,1,CMD,0,0,1,1,0x0001,0x00124b001ca19724,,0x00124b0014f64292
46,1,1,0,0,47,41403765.34375,6,,-100,1,ACK,0,0,0,0,,,,
47,1,1,0,0,48,41407166.6875,13,,-99,0,CMD,0,0,1,1,0x0001,0xaabb,,0x0004
48,1,1,0,0,49,41407934.34375,6,,-85,1,ACK,0,0,0,0,,,,
49,1,1,0,0,50,41981410.34375,22,,-88,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f641b8
50,1,1,0,0,51,41982466.09375,6,,-86,1,ACK,0,0,0,0,,,,
51,1,1,0,0,52,42230499.84375,19,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f641b8
52,1,1,0,0,53,42231459.4375,6,,-86,1,ACK,0,1,0,0,,,,
53,1,1,0,0,54,42234111.9375,28,,-86,1,CMD,0,0,1,1,0x0001,0x00124b0014f641b8,,0x00124b0014f64292
