,FCS,CORR,BUFF_OVERFLOW,GENERIC,PCKT_NUM,TIME(MS),LENGTH,PAYLOAD,RSSI,CRC_OK,FRAME_TYPE,SECURITY_ENABLED,FRAME_PENDING,ACKNOWLEDGE_REQ,PAN_COMPRESSION,DEST_PAN,DEST_ADD,SRC_PAN,SRC_ADD
0,1,1,0,0,1,12606816.8125,11,,-89,1,CMD,0,0,0,0,0xffff,,,
1,1,1,0,0,2,23267873.6875,11,,-74,1,CMD,0,0,0,0,0xffff,,,
2,1,1,0,0,3,23270208.1875,14,,-88,1,BCN,0,0,0,0,,,0x0001,0xaabb
3,1,1,0,0,4,23815058.6875,11,,-99,1,CMD,0,0,0,0,0xffff,,,
4,1,1,0,0,5,23817708.9375,14,,-88,1,BCN,0,0,0,0,,,0x0001,0xaabb
5,1,1,0,0,6,25319257.0625,22,,-71,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64276
6,1,1,0,0,7,25320313.0625,6,,-87,1,ACK,0,0,0,0,,,,
7,1,1,0,0,8,25568987.3125,19,,-72,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64276
8,1,1,0,0,9,25569947.1875,6,,-88,1,ACK,0,1,0,0,,,,
9,1,1,0,0,10,25570998.9375,28,,-87,1,CMD,0,0,1,1,0x0001,0x00124b0014f64276,,0x00124b0014f64292
10,1,1,0,0,11,25572246.8125,6,,-71,1,ACK,0,0,0,0,,,,
11,1,1,0,0,12,25576757.5625,13,,-72,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
12,1,1,0,0,13,25577525.4375,6,,-87,1,ACK,0,0,0,0,,,,
13,1,1,0,0,14,25850695.5625,22,,-92,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca19724
14,1,1,0,0,15,25851751.3125,6,,-87,1,ACK,0,0,0,0,,,,
15,1,1,0,0,16,26099451.6875,19,,-92,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca19724
16,1,1,0,0,17,26100411.4375,6,,-87,1,ACK,0,1,0,0,,,,
17,1,1,0,0,18,26101159.8125,28,,-87,1,CMD,0,0,1,1,0x0001,0x00124b001ca19724,,0x00124b0014f64292
18,1,1,0,0,19,26102407.6875,6,,-91,1,ACK,0,0,0,0,,,,
19,1,1,0,0,20,26106298.4375,13,,-91,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
20,1,1,0,0,21,26107066.0625,6,,-87,1,ACK,0,0,0,0,,,,
21,1,1,0,0,22,28544602.9375,101,,-70,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
22,1,1,0,0,23,28548186.78125,6,,-88,1,ACK,0,0,0,0,,,,
23,1,1,0,0,24,31465698.40625,13,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
24,1,1,0,0,25,31466466.28125,6,,-88,1,ACK,0,0,0,0,,,,
25,1,1,0,0,26,31470257.78125,13,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
26,1,1,0,0,27,31471025.53125,6,,-88,1,ACK,0,0,0,0,,,,
27,1,1,0,0,28,38475102.15625,11,,-95,1,CMD,0,0,0,0,0xffff,,,
28,1,1,0,0,29,38476795.40625,16,,-89,1,BCN,0,0,0,0,,,0x0001,0xaabb
29,1,1,0,0,30,38752149.53125,11,,-99,1,CMD,0,0,0,0,0xffff,,,
30,1,1,0,0,31,38754480.78125,16,,-89,1,BCN,0,0,0,0,,,0x0001,0xaabb
31,1,1,0,0,32,40033594.40625,101,,-94,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0005
32,1,1,0,0,33,40037177.8125,6,,-88,1,ACK,0,0,0,0,,,,
33,1,1,0,0,34,40508483.9375,22,,-83,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
34,1,1,0,0,35,40509539.5625,6,,-88,1,ACK,0,0,0,0,,,,
35,1,1,0,0,36,40757575.5625,19,,-82,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca75ccf
36,1,1,0,0,37,40758535.4375,6,,-89,1,ACK,0,1,0,0,,,,
37,1,1,0,0,38,40759588.1875,28,,-89,1,CMD,0,0,1,1,0x0001,0x00124b001ca75ccf,,0x00124b0014f64292
38,1,1,0,0,39,40760835.8125,6,,-82,1,ACK,0,0,0,0,,,,
39,1,1,0,0,40,40768101.6875,13,,-82,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
40,1,1,0,0,41,40768869.5625,6,,-88,1,ACK,0,0,0,0,,,,
41,1,1,0,0,42,40787975.5625,22,,-93,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f641c7
42,1,1,0,0,43,40789031.0625,6,,-88,1,ACK,0,0,0,0,,,,
43,1,1,0,0,44,41037688.3125,19,,-96,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f641c7
44,1,1,0,0,45,41038648.0625,6,,-88,1,ACK,0,1,0,0,,,,
45,1,1,0,0,46,41041620.6875,28,,-89,1,CMD,0,0,1,1,0x0001,0x00124b0014f641c7,,0x00124b0014f64292
46,1,1,0,0,47,41042868.5625,6,,-96,1,ACK,0,0,0,0,,,,
47,1,1,0,0,48,41049208.3125,13,,-96,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0004
48,1,1,0,0,49,41049976.0625,6,,-88,1,ACK,0,0,0,0,,,,
49,1,1,0,0,50,42790594.6875,13,,-88,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0009
50,1,1,0,0,51,42791362.3125,6,,-87,1,ACK,0,0,0,0,,,,
51,1,1,0,0,52,42795455.4375,13,,-88,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0009
52,1,1,0,0,53,42796223.3125,6,,-87,1,ACK,0,0,0,0,,,,
53,1,1,0,0,54,44959044.3125,101,,-91,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0004
54,1,1,0,0,55,44962627.71875,6,,-88,1,ACK,0,0,0,0,,,,
55,1,1,0,0,56,45573608.71875,13,,-70,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
56,1,1,0,0,57,45574376.34375,6,,-88,1,ACK,0,1,0,0,,,,
57,1,1,0,0,58,45576707.84375,41,,-88,1,DATA,1,1,1,1,0x0001,0x0001,,0xaabb
58,1,1,0,0,59,45578371.46875,6,,-70,1,ACK,0,0,0,0,,,,
59,1,1,0,0,60,45581921.84375,43,,-70,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
60,1,1,0,0,61,45583649.59375,6,,-88,1,ACK,0,0,0,0,,,,
61,1,1,0,0,62,45680479.71875,101,,-98,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0003
62,1,1,0,0,63,45684063.53125,6,,-87,1,ACK,0,0,0,0,,,,
63,1,1,0,0,64,46105378.53125,13,,-93,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
64,1,1,0,0,65,46106146.03125,6,,-87,1,ACK,0,1,0,0,,,,
65,1,1,0,0,66,46106892.78125,41,,-87,1,DATA,1,1,1,1,0x0001,0x0002,,0xaabb
66,1,1,0,0,67,46108556.78125,6,,-93,1,ACK,0,0,0,0,,,,
67,1,1,0,0,68,46111436.15625,43,,-93,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
68,1,1,0,0,69,46113163.78125,6,,-87,1,ACK,0,0,0,0,,,,
69,1,1,0,0,70,47443402.65625,11,,-102,1,CMD,0,0,0,0,0xffff,,,
70,1,1,0,0,71,47444778.40625,16,,-88,1,BCN,0,0,0,0,,,0x0001,0xaabb
71,1,1,0,0,72,49481284.03125,22,,-102,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64104
72,1,1,0,0,73,49482339.78125,6,,-88,1,ACK,0,0,0,0,,,,
73,1,1,0,0,74,49731334.15625,19,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64104
74,1,1,0,0,75,49732293.90625,6,,-90,1,ACK,0,1,0,0,,,,
75,1,1,0,0,76,49734946.65625,28,,-90,1,CMD,0,0,1,1,0x0001,0x00124b0014f64104,,0x00124b0014f64292
76,1,1,0,0,77,49736194.40625,6,,-100,1,ACK,0,0,0,0,,,,
77,1,1,0,0,78,49741576.78125,13,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
78,1,1,0,0,79,49742344.65625,6,,-91,1,ACK,0,0,0,0,,,,
79,1,1,0,0,80,51469446.53125,13,,-92,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
80,1,1,0,0,81,51470214.28125,6,,-90,1,ACK,0,0,0,0,,,,
81,1,1,0,0,82,52973802.90625,101,,-71,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
82,1,1,0,0,83,52977386.6875,6,,-91,1,ACK,0,0,0,0,,,,
83,1,1,0,0,84,55046302.8125,11,,-96,1,CMD,0,0,0,0,0xffff,,,
84,1,1,0,0,85,55049597.8125,16,,-88,1,BCN,0,0,0,0,,,0x0001,0xaabb
85,1,1,0,0,86,57083569.9375,22,,-98,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca1739e
86,1,1,0,0,87,57084625.4375,6,,-87,1,ACK,0,0,0,0,,,,
87,1,1,0,0,88,57333623.4375,19,,-98,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca1739e
88,1,1,0,0,89,57334583.1875,6,,-91,1,ACK,0,1,0,0,,,,
