,FCS,CORR,BUFF_OVERFLOW,GENERIC,PCKT_NUM,TIME(MS),LENGTH,PAYLOAD,RSSI,CRC_OK,FRAME_TYPE,SECURITY_ENABLED,FRAME_PENDING,ACKNOWLEDGE_REQ,PAN_COMPRESSION,DEST_PAN,DEST_ADD,SRC_PAN,SRC_ADD
0,1,1,0,0,1,10416794.375,11,,-101,1,CMD,0,0,0,0,0xffff,,,
1,1,1,0,0,2,28396968.21875,11,,-85,1,CMD,0,0,0,0,0xffff,,,
2,1,1,0,0,3,28399622.625,14,,-82,1,BCN,0,0,0,0,,,0x0001,0xaabb
3,1,1,0,0,4,30432477.625,22,,-88,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca19724
4,1,1,0,0,5,30433533.375,6,,-82,1,ACK,0,0,0,0,,,,
5,1,1,0,0,6,30680927.375,19,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca19724
6,1,1,0,0,7,30681886.875,6,,-82,1,ACK,0,1,0,0,,,,
7,1,1,0,0,8,30683579.875,28,,-82,1,CMD,0,0,1,1,0x0001,0x00124b001ca19724,,0x00124b0014f64292
8,1,1,0,0,9,30684827.625,6,,-87,1,ACK,0,0,0,0,,,,
9,1,1,0,0,10,30690150.96875,13,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
10,1,1,0,0,11,30690918.875,6,,-82,1,ACK,0,0,0,0,,,,
11,1,1,0,0,12,31782832.125,11,,-82,1,CMD,0,0,0,0,0xffff,,,
12,1,1,0,0,13,31785159.46875,14,,-82,1,BCN,0,0,0,0,,,0x0001,0xaabb
13,1,1,0,0,14,32683249.46875,11,,-100,1,CMD,0,0,0,0,0xffff,,,
14,1,1,0,0,15,32685586.375,16,,-82,1,BCN,0,0,0,0,,,0x0001,0xaabb
15,1,1,0,0,16,33820391.21875,22,,-90,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64276
16,1,1,0,0,17,33821446.875,6,,-82,1,ACK,0,0,0,0,,,,
17,1,1,0,0,18,34070425.96875,19,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64276
18,1,1,0,0,19,34071385.625,6,,-81,1,ACK,0,1,0,0,,,,
19,1,1,0,0,20,34074357.875,28,,-81,1,CMD,0,0,1,1,0x0001,0x00124b0014f64276,,0x00124b0014f64292
20,1,1,0,0,21,34075605.71875,6,,-87,1,ACK,0,0,0,0,,,,
21,1,1,0,0,22,34081269.21875,13,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
22,1,1,0,0,23,34082037.125,6,,-81,1,ACK,0,0,0,0,,,,
23,1,1,0,0,24,34720800.46875,22,,-87,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f641c7
24,1,1,0,0,25,34721856.125,6,,-81,1,ACK,0,0,0,0,,,,
25,1,1,0,0,26,34970836.125,19,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f641c7
26,1,1,0,0,27,34971795.875,6,,-81,1,ACK,0,1,0,0,,,,
27,1,1,0,0,28,34974779.875,28,,-81,1,CMD,0,0,1,1,0x0001,0x00124b0014f641c7,,0x00124b0014f64292
28,1,1,0,0,29,34976027.625,6,,-87,1,ACK,0,0,0,0,,,,
29,1,1,0,0,30,34982308.46875,13,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
30,1,1,0,0,31,34983076.125,6,,-81,1,ACK,0,0,0,0,,,,
31,1,1,0,0,32,39766851.96875,11,,-96,1,CMD,0,0,0,0,0xffff,,,
32,1,1,0,0,33,39769825.46875,16,,-81,1,BCN,0,0,0,0,,,0x0001,0xaabb
33,1,1,0,0,34,41803138.46875,22,,-98,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64104
34,1,1,0,0,35,41804194.375,6,,-82,1,ACK,0,0,0,0,,,,
35,1,1,0,0,36,42050963.96875,19,,-98,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64104
36,1,1,0,0,37,42051923.625,6,,-82,1,ACK,0,1,0,0,,,,
37,1,1,0,0,38,42053615.21875,28,,-82,1,CMD,0,0,1,1,0x0001,0x00124b0014f64104,,0x00124b0014f64292
38,1,1,0,0,39,42054863.21875,6,,-98,1,ACK,0,0,0,0,,,,
39,1,1,0,0,40,42059933.71875,13,,-98,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0004
40,1,1,0,0,41,42060701.71875,6,,-82,1,ACK,0,0,0,0,,,,
41,1,1,0,0,42,42504419.71875,11,,-98,1,CMD,0,0,0,0,0xffff,,,
42,1,1,0,0,43,42507072.875,16,,-82,1,BCN,0,0,0,0,,,0x0001,0xaabb
43,1,1,0,0,44,44540259.46875,22,,-96,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca17247
44,1,1,0,0,45,44541315.375,6,,-81,1,ACK,0,0,0,0,,,,
45,1,1,0,0,46,44789978.125,19,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca17247
46,1,1,0,0,47,44790937.96875,6,,-82,1,ACK,0,1,0,0,,,,
47,1,1,0,0,48,44792949.96875,28,,-82,1,CMD,0,0,1,1,0x0001,0x00124b001ca17247,,0x00124b0014f64292
48,1,1,0,0,49,44794197.96875,6,,-87,1,ACK,0,0,0,0,,,,
49,1,1,0,0,50,44798011.375,13,,-87,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
50,1,1,0,0,51,44798779.21875,6,,-82,1,ACK,0,0,0,0,,,,
51,1,1,0,0,52,45665800.96875,32,,-93,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0005
52,1,1,0,0,53,45667176.71875,6,,-82,1,ACK,0,0,0,0,,,,
53,1,1,0,0,54,46444509.21875,18,,-82,1,BCN,0,0,0,0,,,0x0001,0xaabb
54,1,1,0,0,55,47986177.125,101,,-97,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0004
55,1,1,0,0,56,47989760.9375,6,,-81,1,ACK,0,0,0,0,,,,
56,1,1,0,0,57,48481966.0625,22,,-98,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64244
57,1,1,0,0,58,48483021.5625,6,,-82,1,ACK,0,0,0,0,,,,
58,1,1,0,0,59,48732011.3125,19,,-98,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64244
59,1,1,0,0,60,48732971.0625,6,,-82,1,ACK,0,1,0,0,,,,
60,1,1,0,0,61,48734022.8125,28,,-82,1,CMD,0,0,1,1,0x0001,0x00124b0014f64244,,0x00124b0014f64292
61,1,1,0,0,62,48735270.6875,6,,-98,1,ACK,0,0,0,0,,,,
62,1,1,0,0,63,48742722.8125,13,,-98,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0006
63,1,1,0,0,64,48743490.5625,6,,-82,1,ACK,0,0,0,0,,,,
64,1,1,0,0,65,49730020.5625,11,,-99,1,CMD,0,0,0,0,0xffff,,,
65,1,1,0,0,66,49732676.1875,18,,-82,1,BCN,0,0,0,0,,,0x0001,0xaabb
66,1,1,0,0,67,50689337.1875,13,,-89,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
67,1,1,0,0,68,50690104.9375,6,,-81,1,ACK,0,1,0,0,,,,
68,1,1,0,0,69,50692115.6875,41,,-82,1,DATA,1,1,1,1,0x0001,0x0001,,0xaabb
69,1,1,0,0,70,50693779.4375,6,,-89,1,ACK,0,0,0,0,,,,
70,1,1,0,0,71,50696164.8125,43,,-89,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
71,1,1,0,0,72,50697892.4375,6,,-82,1,ACK,0,0,0,0,,,,
72,1,1,0,0,73,51767596.3125,22,,-100,0,CMD,0,0,1,0,0x0601,0xaabb,0xffff,0x00124b001ca1739e
73,1,1,0,0,74,51768651.8125,6,,-82,1,ACK,0,0,0,0,,,,
74,1,1,0,0,75,52017635.1875,19,,-99,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca1739e
75,1,1,0,0,76,52018594.9375,6,,-82,1,ACK,0,1,0,0,,,,
76,1,1,0,0,77,52019967.4375,28,,-82,1,CMD,0,0,1,1,0x0001,0x00124b001ca1739e,,0x00124b0014f64292
77,1,1,0,0,78,52021215.3125,6,,-99,1,ACK,0,0,0,0,,,,
78,1,1,0,0,79,52025272.6875,13,,-99,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0007
79,1,1,0,0,80,52026040.1875,6,,-82,1,ACK,0,0,0,0,,,,
80,1,1,0,0,81,53056324.9375,11,,-91,1,CMD,0,0,0,0,0xffff,,,
81,1,1,0,0,82,53057701.4375,18,,-82,1,BCN,0,0,0,0,,,0x0001,0xaabb
82,1,1,0,0,83,54081038.4375,13,,-72,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
83,1,1,0,0,84,54081806.1875,6,,-82,1,ACK,0,1,0,0,,,,
84,1,1,0,0,85,54083816.9375,41,,-82,1,DATA,1,1,1,1,0x0001,0x0002,,0xaabb
85,1,1,0,0,86,54085480.9375,6,,-72,1,ACK,0,0,0,0,,,,
86,1,1,0,0,87,54088072.5625,43,,-72,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
87,1,1,0,0,88,54089800.4375,6,,-82,1,ACK,0,0,0,0,,,,
88,1,1,0,0,89,54981737.4375,13,,-88,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
89,1,1,0,0,90,54982505.3125,6,,-82,1,ACK,0,1,0,0,,,,
90,1,1,0,0,91,54984517.3125,41,,-82,1,DATA,1,1,1,1,0x0001,0x0003,,0xaabb
91,1,1,0,0,92,54986180.9375,6,,-87,1,ACK,0,0,0,0,,,,
92,1,1,0,0,93,54988762.3125,43,,-88,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0003
93,1,1,0,0,94,54990490.3125,6,,-82,1,ACK,0,0,0,0,,,,
94,1,1,0,0,95,55094204.0625,22,,-80,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca75ccf
95,1,1,0,0,96,55095259.8125,6,,-82,1,ACK,0,0,0,0,,,,
96,1,1,0,0,97,55342330.5625,19,,-79,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca75ccf
97,1,1,0,0,98,55343290.4375,6,,-82,1,ACK,0,1,0,0,,,,
98,1,1,0,0,99,55345302.1875,28,,-82,1,CMD,0,0,1,1,0x0001,0x00124b001ca75ccf,,0x00124b0014f64292
99,1,1,0,0,100,55346550.0625,6,,-79,1,ACK,0,0,0,0,,,,
100,1,1,0,0,101,55351432.0625,13,,-79,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0008
101,1,1,0,0,102,55352199.5625,6,,-82,1,ACK,0,0,0,0,,,,
102,1,1,0,0,103,56160779.3125,11,,-87,1,CMD,0,0,0,0,0xffff,,,
103,1,1,0,0,104,56161853.4375,18,,-82,1,BCN,0,0,0,0,,,0x0001,0xaabb
104,1,1,0,0,105,58195977.0625,22,,-98,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f641b8
105,1,1,0,0,106,58197032.8125,6,,-81,1,ACK,0,0,0,0,,,,
106,1,1,0,0,107,58445706.1875,19,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f641b8
107,1,1,0,0,108,58446665.9375,6,,-82,1,ACK,0,1,0,0,,,,
108,1,1,0,0,109,58448998.6875,28,,-82,1,CMD,0,0,1,1,0x0001,0x00124b0014f641b8,,0x00124b0014f64292
109,1,1,0,0,110,58450246.5625,6,,-100,1,ACK,0,0,0,0,,,,
110,1,1,0,0,111,58454225.6875,13,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0009
111,1,1,0,0,112,58454993.4375,6,,-82,1,ACK,0,0,0,0,,,,
112,1,1,0,0,113,61120821.9375,101,,-91,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0006
113,1,1,0,0,114,61124405.375,6,,-82,1,ACK,0,0,0,0,,,,
114,1,1,0,0,115,62057816.625,13,,-93,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0004
115,1,1,0,0,116,62058584.375,6,,-82,1,ACK,0,1,0,0,,,,
116,1,1,0,0,117,62059331.75,41,,-82,1,DATA,1,1,1,1,0x0001,0x0004,,0xaabb
117,1,1,0,0,118,62060995.75,6,,-93,1,ACK,0,0,0,0,,,,
118,1,1,0,0,119,62064810.5,43,,-93,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0004
119,1,1,0,0,120,62066538.125,6,,-82,1,ACK,0,0,0,0,,,,
120,1,1,0,0,121,62823685.375,101,,-97,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0009
121,1,1,0,0,122,62827268.9375,6,,-82,1,ACK,0,0,0,0,,,,
122,1,1,0,0,123,64797781.0625,13,,-93,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
123,1,1,0,0,124,64798548.8125,6,,-82,1,ACK,0,1,0,0,,,,
124,1,1,0,0,125,64799921.9375,32,,-82,1,DATA,1,1,1,1,0x0001,0x0005,,0xaabb
125,1,1,0,0,126,64801297.8125,6,,-93,1,ACK,0,0,0,0,,,,
126,1,1,0,0,127,64938411.0625,101,,-93,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0007
127,1,1,0,0,128,64941994.875,6,,-82,1,ACK,0,0,0,0,,,,
128,1,1,0,0,129,66005465.25,101,,-71,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
129,1,1,0,0,130,66009049.0625,6,,-93,1,ACK,0,0,0,0,,,,
130,1,1,0,0,131,68743530.96875,13,,-91,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0006
131,1,1,0,0,132,68744298.71875,6,,-91,1,ACK,0,0,0,0,,,,
132,1,1,0,0,133,70688233.8125,13,,-90,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
133,1,1,0,0,134,70689001.5625,6,,-94,1,ACK,0,0,0,0,,,,
134,1,1,0,0,135,71391281.5625,101,,-82,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0008
135,1,1,0,0,136,71394865.1875,6,,-91,1,ACK,0,0,0,0,,,,
136,1,1,0,0,137,72024649.6875,13,,-96,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0007
137,1,1,0,0,138,72025417.4375,6,,-94,1,ACK,0,0,0,0,,,,
138,1,1,0,0,139,72363938.0625,101,,-91,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0005
139,1,1,0,0,140,72367521.78125,6,,-93,1,ACK,0,0,0,0,,,,
140,1,1,0,0,141,74081133.28125,13,,-71,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
141,1,1,0,0,142,74081901.125,6,,-93,1,ACK,0,0,0,0,,,,
142,1,1,0,0,143,74860825.28125,101,,-91,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
143,1,1,0,0,144,74864408.96875,6,,-97,1,ACK,0,0,0,0,,,,
144,1,1,0,0,145,74980764.96875,13,,-98,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
145,1,1,0,0,146,74981532.59375,6,,-95,1,ACK,0,0,0,0,,,,
146,1,1,0,0,147,75350738.96875,13,,-82,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0008
147,1,1,0,0,148,75351506.84375,6,,-96,1,ACK,0,0,0,0,,,,
148,1,1,0,0,149,78456773.09375,13,,-94,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0009
149,1,1,0,0,150,78457540.71875,6,,-93,1,ACK,0,0,0,0,,,,
150,1,1,0,0,151,81814968.46875,107,,-73,0,ACK,1,0,1,1,,,,
151,1,1,0,0,152,81818551.9375,6,,-97,1,ACK,0,0,0,0,,,,
152,1,1,0,0,153,82057658.8125,13,,-100,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0004
153,1,1,0,0,154,82058426.1875,6,,-98,1,ACK,0,0,0,0,,,,
154,1,1,0,0,155,83745050.6875,101,,-96,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0004
155,1,1,0,0,156,83748634.5625,6,,-91,1,ACK,0,0,0,0,,,,
156,1,1,0,0,157,84799085.90625,13,,-93,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0005
157,1,1,0,0,158,84799853.65625,6,,-92,1,ACK,0,1,0,0,,,,
158,1,1,0,0,159,84800601.15625,41,,-92,1,DATA,1,1,1,1,0x0001,0x0005,,0xaabb
159,1,1,0,0,160,84802264.90625,6,,-93,1,ACK,0,0,0,0,,,,
160,1,1,0,0,161,84805542.5625,43,,-93,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0005
161,1,1,0,0,162,84807270.5625,6,,-92,1,ACK,0,0,0,0,,,,
162,1,1,0,0,163,88745920.3125,13,,-99,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0006
163,1,1,0,0,164,88746687.90625,6,,-84,1,ACK,0,1,0,0,,,,
164,1,1,0,0,165,88748379.40625,41,,-84,1,DATA,1,1,1,1,0x0001,0x0006,,0xaabb
165,1,1,0,0,166,88750043.3125,6,,-99,1,ACK,0,0,0,0,,,,
166,1,1,0,0,167,88753114.5625,43,,-99,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0006
167,1,1,0,0,168,88754842.15625,6,,-84,1,ACK,0,0,0,0,,,,
168,1,1,0,0,169,88809374.15625,101,,-91,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0005
169,1,1,0,0,170,88812957.65625,6,,-84,1,ACK,0,0,0,0,,,,
170,1,1,0,0,171,90687442.90625,13,,-92,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
171,1,1,0,0,172,90688210.5625,6,,-84,1,ACK,0,0,0,0,,,,
172,1,1,0,0,173,92024639.3125,13,,-94,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0007
173,1,1,0,0,174,92025407.0625,6,,-85,1,ACK,0,1,0,0,,,,
174,1,1,0,0,175,92026154.0625,41,,-84,1,DATA,1,1,1,1,0x0001,0x0007,,0xaabb
175,1,1,0,0,176,92027817.8125,6,,-94,1,ACK,0,0,0,0,,,,
176,1,1,0,0,177,92030289.40625,43,,-94,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0007
177,1,1,0,0,178,92032017.0625,6,,-84,1,ACK,0,0,0,0,,,,
178,1,1,0,0,179,92072840.90625,101,,-100,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0006
179,1,1,0,0,180,92076424.375,6,,-84,1,ACK,0,0,0,0,,,,
180,1,1,0,0,181,92832087.875,6,,-84,1,ACK,0,0,0,0,,,,
181,1,1,0,0,182,94082604.5,13,,-71,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
182,1,1,0,0,183,94083372.125,6,,-84,1,ACK,0,0,0,0,,,,
183,1,1,0,0,184,94979566.75,13,,-95,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0003
184,1,1,0,0,185,94980334.375,6,,-84,1,ACK,0,0,0,0,,,,
185,1,1,0,0,186,95349754.625,13,,-83,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0008
186,1,1,0,0,187,95350522.375,6,,-85,1,ACK,0,1,0,0,,,,
187,1,1,0,0,188,95351269.625,41,,-85,1,DATA,1,1,1,1,0x0001,0x0008,,0xaabb
188,1,1,0,0,189,95352933.625,6,,-83,1,ACK,0,0,0,0,,,,
189,1,1,0,0,190,95355985.5,43,,-83,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0008
190,1,1,0,0,191,95357713.125,6,,-85,1,ACK,0,0,0,0,,,,
191,1,1,0,0,192,96006462.0,101,,-71,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
