,FCS,CORR,BUFF_OVERFLOW,GENERIC,PCKT_NUM,TIME(MS),LENGTH,PAYLOAD,RSSI,CRC_OK,FRAME_TYPE,SECURITY_ENABLED,FRAME_PENDING,ACKNOWLEDGE_REQ,PAN_COMPRESSION,DEST_PAN,DEST_ADD,SRC_PAN,SRC_ADD
0,1,1,0,0,1,11756734.71875,11,,-93,0,CMD,0,0,0,0,0xf97e,,,
1,1,1,0,0,2,26847579.96875,11,,-82,1,CMD,0,0,0,0,0xffff,,,
2,1,1,0,0,3,26849596.21875,14,,-85,1,BCN,0,0,0,0,,,0x0001,0xaabb
3,1,1,0,0,4,28891477.875,22,,-72,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f64276
4,1,1,0,0,5,28892533.71875,6,,-85,1,ACK,0,0,0,0,,,,
5,1,1,0,0,6,29140565.71875,19,,-75,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f64276
6,1,1,0,0,7,29141525.46875,6,,-85,1,ACK,0,1,0,0,,,,
7,1,1,0,0,8,29143218.625,28,,-85,1,CMD,0,0,1,1,0x0001,0x00124b0014f64276,,0x00124b0014f64292
8,1,1,0,0,9,29144466.125,6,,-75,1,ACK,0,0,0,0,,,,
9,1,1,0,0,10,29148644.625,13,,-75,1,CMD,0,0,1,1,0x0001,0xaabb,,0x0001
10,1,1,0,0,11,29149412.46875,6,,-85,1,ACK,0,0,0,0,,,,
11,1,1,0,0,12,39672477.625,101,,-68,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0001
12,1,1,0,0,13,39676061.0,6,,-84,1,ACK,0,0,0,0,,,,
13,1,1,0,0,14,39928364.09375,11,,-91,1,CMD,0,0,0,0,0xffff,,,
14,1,1,0,0,15,39930059.0,16,,-84,1,BCN,0,0,0,0,,,0x0001,0xaabb
15,1,1,0,0,16,41965932.0,22,,-89,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b001ca17247
16,1,1,0,0,17,41966987.59375,6,,-84,1,ACK,0,0,0,0,,,,
17,1,1,0,0,18,42213765.25,19,,-89,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b001ca17247
18,1,1,0,0,19,42214724.84375,6,,-84,1,ACK,0,1,0,0,,,,
19,1,1,0,0,20,42217697.84375,28,,-84,1,CMD,0,0,1,1,0x0001,0x00124b001ca17247,,0x00124b0014f64292
20,1,1,0,0,21,42218945.75,6,,-89,1,ACK,0,0,0,0,,,,
21,1,1,0,0,22,42223857.25,13,,-88,0,CMD,0,0,1,1,0x0001,0xaabb,,0x0002
22,1,1,0,0,23,42224624.84375,6,,-83,1,ACK,0,0,0,0,,,,
23,1,1,0,0,24,44670290.25,101,,-87,1,DATA,1,0,1,1,0x0001,0xaabb,,0x0002
24,1,1,0,0,25,44673874.125,6,,-83,1,ACK,0,0,0,0,,,,
25,1,1,0,0,26,46433654.625,16,,-85,1,BCN,0,0,0,0,,,0x0001,0xaabb
26,1,1,0,0,27,48345239.25,11,,-82,1,CMD,0,0,0,0,0xffff,,,
27,1,1,0,0,28,48346308.0,16,,-84,1,BCN,0,0,0,0,,,0x0001,0xaabb
28,1,1,0,0,29,48468877.375,22,,-94,1,CMD,0,0,1,0,0x0001,0xaabb,0xffff,0x00124b0014f641c7
29,1,1,0,0,30,48469933.0,6,,-84,1,ACK,0,0,0,0,,,,
30,1,1,0,0,31,48718911.5,19,,-97,1,CMD,0,0,1,1,0x0001,0xaabb,,0x00124b0014f641c7
31,1,1,0,0,32,48719871.25,6,,-84,1,ACK,0,1,0,0,,,,
